"Low income cut-offs (LICOs) before and after tax by community size and family size, in current dollars" 1 2 3
"Annual"
"Table: 11-10-0241-01 (formerly CANSIM 206-0094)"
"Geography: Canada"

"","Low income cut-offs after tax, 1992 base 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Rural areas",,,,,,,"Population under 30,000",,,,,,,"Population 30,000 to 99,999",,,,,,,"Population 100,000 to 499,999",,,,,,,"Population 500,000 and over",,,,,,
"","Canada",,,,,,,"Canada",,,,,,,"Canada",,,,,,,"Canada",,,,,,,"Canada",,,,,,
"Reference period","1 person","2 persons","3 persons","4 persons","5 persons","6 persons","7 persons or more","1 person","2 persons","3 persons","4 persons","5 persons","6 persons","7 persons or more","1 person","2 persons","3 persons","4 persons","5 persons","6 persons","7 persons or more","1 person","2 persons","3 persons","4 persons","5 persons","6 persons","7 persons or more","1 person","2 persons","3 persons","4 persons","5 persons","6 persons","7 persons or more"
"2000","10,049","12,231","15,230","18,999","21,635","23,994","26,353","11,500","13,998","17,429","21,744","24,761","27,460","30,160","12,829","15,615","19,443","24,258","27,623","30,635","33,646","12,991","15,811","19,689","24,563","27,970","31,020","34,069","15,362","18,696","23,281","29,045","33,073","36,679","40,285"
"2001","10,302","12,538","15,613","19,477","22,180","24,598","27,016","11,790","14,350","17,867","22,291","25,384","28,151","30,919","13,152","16,008","19,933","24,868","28,318","31,405","34,492","13,318","16,209","20,184","25,181","28,674","31,800","34,926","15,748","19,166","23,867","29,775","33,905","37,602","41,298"
"2002","10,533","12,820","15,964","19,915","22,679","25,151","27,624","12,055","14,673","18,269","22,793","25,955","28,785","31,614","13,448","16,368","20,381","25,427","28,955","32,112","35,268","13,618","16,574","20,638","25,748","29,319","32,515","35,712","16,102","19,598","24,404","30,445","34,668","38,448","42,227"
"2003","10,828","13,179","16,411","20,473","23,314","25,855","28,397","12,392","15,083","18,781","23,431","26,681","29,590","32,499","13,824","16,826","20,952","26,139","29,765","33,011","36,255","13,999","17,038","21,216","26,469","30,140","33,426","36,712","16,553","20,146","25,087","31,298","35,639","39,524","43,410"
"2004","11,028","13,423","16,715","20,852","23,744","26,333","28,922","12,621","15,362","19,128","23,864","27,175","30,137","33,100","14,080","17,137","21,339","26,622","30,316","33,621","36,925","14,258","17,353","21,608","26,958","30,697","34,044","37,390","16,859","20,519","25,551","31,876","36,297","40,255","44,212"
"2005","11,271","13,718","17,082","21,310","24,266","26,912","29,557","12,899","15,700","19,548","24,388","27,772","30,799","33,827","14,389","17,514","21,808","27,207","30,982","34,360","37,737","14,571","17,734","22,083","27,550","31,371","34,792","38,212","17,230","20,969","26,112","32,576","37,095","41,139","45,183"
"2006","11,492","13,987","17,417","21,728","24,742","27,440","30,138","13,152","16,008","19,932","24,867","28,317","31,404","34,491","14,671","17,857","22,236","27,741","31,590","35,034","38,477","14,857","18,082","22,516","28,091","31,987","35,474","38,962","17,568","21,381","26,624","33,216","37,823","41,946","46,070"
"2007","11,745","14,295","17,800","22,206","25,287","28,044","30,801","13,441","16,360","20,370","25,414","28,940","32,095","35,250","14,994","18,250","22,725","28,352","32,285","35,805","39,324","15,184","18,480","23,011","28,709","32,691","36,255","39,819","17,954","21,851","27,210","33,946","38,655","42,869","47,084"
"2008","12,019","14,628","18,215","22,724","25,876","28,698","31,519","13,754","16,741","20,845","26,007","29,614","32,843","36,072","15,344","18,676","23,255","29,013","33,037","36,640","40,241","15,538","18,911","23,548","29,378","33,453","37,100","40,747","18,373","22,361","27,844","34,738","39,556","43,869","48,181"
"2009","12,050","14,666","18,263","22,783","25,944","28,773","31,602","13,791","16,785","20,900","26,075","29,692","32,929","36,167","15,384","18,725","23,316","29,089","33,124","36,736","40,346","15,579","18,960","23,610","29,455","33,541","37,198","40,854","18,421","22,420","27,918","34,829","39,660","43,984","48,308"
"2010","12,271","14,936","18,598","23,202","26,421","29,301","32,182","14,044","17,094","21,283","26,554","30,237","33,534","36,831","15,666","19,069","23,744","29,623","33,732","37,410","41,087","15,865","19,308","24,043","29,996","34,157","37,881","41,604","18,759","22,831","28,430","35,469","40,388","44,791","49,195"
"2011","12,629","15,371","19,141","23,879","27,192","30,156","33,121","14,454","17,592","21,905","27,329","31,120","34,513","37,906","16,124","19,625","24,437","30,487","34,717","38,502","42,286","16,328","19,872","24,745","30,871","35,154","38,986","42,819","19,307","23,498","29,260","36,504","41,567","46,099","50,631"
"2012","12,819","15,602","19,429","24,237","27,600","30,609","33,618","14,671","17,857","22,233","27,739","31,587","35,031","38,475","16,366","19,920","24,804","30,945","35,238","39,080","42,921","16,573","20,170","25,117","31,335","35,681","39,571","43,461","19,597","23,850","29,699","37,052","42,191","46,791","51,391"
"2013","12,935","15,743","19,604","24,456","27,849","30,886","33,922","14,803","18,018","22,434","27,990","31,872","35,347","38,822","16,514","20,100","25,028","31,225","35,556","39,433","43,309","16,723","20,353","25,344","31,618","36,004","39,929","43,854","19,774","24,066","29,968","37,387","42,572","47,214","51,855"
