"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Employment 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Both sexes",,,,,,,,,,,,,,,,,,,,,,"Males",,,,,,,,,,,,,,,,,,,,,,"Females",,,,,,,,,,,,,,,,,,,,,
"Reference period","15 years and over","15 to 24 years","25 years and over","25 to 44 years","45 to 64 years","45 years and over","25 to 54 years","55 years and over","15 to 64 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 years and over","65 to 69 years","70 years and over","15 years and over","15 to 24 years","25 years and over","25 to 44 years","45 to 64 years","45 years and over","25 to 54 years","55 years and over","15 to 64 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 years and over","65 to 69 years","70 years and over","15 years and over","15 to 24 years","25 years and over","25 to 44 years","45 to 64 years","45 years and over","25 to 54 years","55 years and over","15 to 64 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 years and over","65 to 69 years","70 years and over"
"","Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"March 2000","14,418.0","2,098.3","12,319.7","7,524.0","4,579.9","4,795.8","10,805.1","1,514.7","14,202.1","788.3","1,310.0","1,583.7","1,756.3","2,043.7","2,140.3","1,760.9","1,520.2","887.7","411.1","215.9","126.3","89.6","7,739.1","1,072.1","6,667.0","4,000.3","2,515.7","2,666.7","5,755.0","912.0","7,588.1","392.9","679.2","829.2","939.5","1,097.2","1,134.4","927.2","827.4","505.5","255.5","151.0","87.2","63.7","6,678.9","1,026.2","5,652.7","3,523.6","2,064.2","2,129.1","5,050.1","602.6","6,614.0","395.4","630.8","754.5","816.9","946.4","1,005.8","833.7","692.8","382.2","155.5","64.9","39.0","25.9"
"April 2000","14,493.1","2,111.0","12,382.1","7,540.3","4,627.0","4,841.9","10,852.4","1,529.8","14,278.3","797.1","1,313.9","1,592.6","1,768.5","2,046.5","2,132.7","1,800.5","1,511.6","902.2","412.8","214.8","123.2","91.6","7,789.9","1,094.4","6,695.5","4,007.1","2,543.1","2,688.4","5,782.7","912.7","7,644.6","408.0","686.4","841.6","944.0","1,092.8","1,128.7","941.5","834.2","513.7","253.7","145.3","82.0","63.3","6,703.2","1,016.6","5,686.7","3,533.2","2,083.9","2,153.4","5,069.6","617.0","6,633.7","389.1","627.5","750.9","824.5","953.7","1,004.1","859.0","677.4","388.4","159.1","69.5","41.2","28.3"
"May 2000","14,874.9","2,321.1","12,553.8","7,639.7","4,698.3","4,914.1","11,005.2","1,548.6","14,659.1","881.9","1,439.2","1,618.5","1,788.7","2,099.7","2,132.8","1,827.4","1,538.1","905.9","426.9","215.8","124.9","90.9","8,041.5","1,206.7","6,834.7","4,093.1","2,591.1","2,741.7","5,895.2","939.5","7,890.9","451.3","755.4","868.3","955.6","1,143.5","1,125.7","964.2","837.9","524.4","264.5","150.6","85.8","64.8","6,833.4","1,114.4","5,719.1","3,546.6","2,107.2","2,172.4","5,110.0","609.1","6,768.2","430.6","683.7","750.2","833.1","956.2","1,007.2","863.2","700.1","381.5","162.4","65.2","39.1","26.1"
"June 2000","15,056.3","2,444.2","12,612.0","7,682.1","4,712.2","4,929.9","11,061.8","1,550.2","14,838.5","952.5","1,491.7","1,627.8","1,797.0","2,099.8","2,157.5","1,838.4","1,541.2","912.6","419.9","217.7","125.3","92.4","8,139.0","1,265.3","6,873.8","4,120.7","2,605.1","2,753.1","5,930.0","943.8","7,991.1","484.8","780.4","873.6","971.2","1,134.4","1,141.6","962.3","847.0","531.2","264.7","148.0","81.6","66.4","6,917.2","1,179.0","5,738.3","3,561.4","2,107.1","2,176.8","5,131.9","606.4","6,847.4","467.7","711.3","754.2","825.8","965.5","1,016.0","876.2","694.3","381.4","155.2","69.8","43.8","26.0"
"July 2000","15,112.9","2,647.9","12,465.0","7,595.1","4,668.3","4,869.9","10,947.0","1,518.0","14,911.3","1,105.1","1,542.8","1,621.3","1,781.9","2,096.4","2,095.5","1,828.1","1,523.8","904.1","412.3","201.6","116.1","85.5","8,251.1","1,381.6","6,869.5","4,137.0","2,595.1","2,732.5","5,947.5","922.0","8,113.7","570.6","811.0","882.7","979.8","1,147.8","1,126.7","955.0","855.5","527.6","257.0","137.4","76.0","61.4","6,861.8","1,266.3","5,595.5","3,458.1","2,073.2","2,137.3","4,999.5","595.9","6,797.6","534.5","731.9","738.6","802.1","948.6","968.8","873.1","668.3","376.5","155.3","64.2","40.1","24.1"
"August 2000","15,097.0","2,612.0","12,485.0","7,605.1","4,676.3","4,879.9","10,941.6","1,543.4","14,893.4","1,080.6","1,531.4","1,626.0","1,770.7","2,106.6","2,101.8","1,829.6","1,506.9","918.3","421.5","203.6","120.6","83.0","8,238.7","1,363.1","6,875.6","4,138.0","2,594.6","2,737.6","5,940.2","935.4","8,095.7","555.8","807.3","884.0","977.2","1,147.8","1,128.9","968.3","833.9","531.1","261.2","143.0","80.1","63.0","6,858.3","1,248.9","5,609.4","3,467.1","2,081.7","2,142.3","5,001.4","608.0","6,797.7","524.7","724.1","742.0","793.5","958.8","972.9","861.2","673.0","387.2","160.3","60.6","40.5","20.0"
