"Labour force characteristics by industry, annual" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"","Canada",,,,,,,,,,,,,,,,,,,,"Quebec",,,,,,,,,,,,,,,,,,,,"Ontario",,,,,,,,,,,,,,,,,,,,"British Columbia",,,,,,,,,,,,,,,,,,,
"","Labour force 4",,,,"Employment 5",,,,"Full-time employment 6",,,,"Part-time employment 7",,,,"Unemployment rate 8",,,,"Labour force 4",,,,"Employment 5",,,,"Full-time employment 6",,,,"Part-time employment 7",,,,"Unemployment rate 8",,,,"Labour force 4",,,,"Employment 5",,,,"Full-time employment 6",,,,"Part-time employment 7",,,,"Unemployment rate 8",,,,"Labour force 4",,,,"Employment 5",,,,"Full-time employment 6",,,,"Part-time employment 7",,,,"Unemployment rate 8",,,
"","Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,,"Total, all industries 9",,,
"","Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,,"Both sexes",,,
"Reference period","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over","15 to 24 years","25 to 54 years","55 years and over","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over","15 to 24 years","25 to 54 years","55 years and over","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over","15 to 24 years","25 to 54 years","55 years and over","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over (x 1,000)","15 to 24 years (x 1,000)","25 to 54 years (x 1,000)","55 years and over (x 1,000)","15 years and over","15 to 24 years","25 to 54 years","55 years and over"
"","Persons",,,,,,,,,,,,,,,,"Percentage",,,,"Persons",,,,,,,,,,,,,,,,"Percentage",,,,"Persons",,,,,,,,,,,,,,,,"Percentage",,,,"Persons",,,,,,,,,,,,,,,,"Percentage",,,
"2000","15,841.9","2,619.4","11,600.2","1,622.4","14,760.1","2,287.4","10,933.1","1,539.6","12,089.4","1,289.3","9,597.9","1,202.2","2,670.7","998.1","1,335.2","337.4","6.8","12.7","5.7","5.1","3,716.7","593.5","2,770.2","353.0","3,401.5","510.7","2,563.8","327.0","2,829.2","300.4","2,267.7","261.1","572.3","210.3","296.2","65.9","8.5","14.0","7.5","7.4","6,169.3","1,010.3","4,518.1","640.8","5,814.9","890.8","4,309.8","614.3","4,769.4","464.0","3,829.0","476.4","1,045.4","426.8","480.8","137.8","5.7","11.8","4.6","4.2","2,080.0","323.0","1,529.4","227.6","1,930.8","278.2","1,436.0","216.5","1,533.3","153.8","1,210.0","169.5","397.4","124.5","226.0","47.0","7.2","13.8","6.1","4.9"
"2001","16,094.1","2,663.6","11,739.1","1,691.3","14,932.3","2,320.7","11,013.2","1,598.4","12,229.4","1,311.0","9,658.0","1,260.4","2,702.9","1,009.8","1,355.2","338.0","7.2","12.9","6.2","5.5","3,772.7","608.3","2,794.3","370.0","3,441.3","525.4","2,576.4","339.5","2,849.3","307.8","2,270.3","271.2","592.1","217.6","306.1","68.4","8.8","13.6","7.8","8.2","6,320.6","1,028.5","4,615.9","676.2","5,921.3","899.7","4,374.5","647.1","4,864.9","474.7","3,882.0","508.2","1,056.4","425.0","492.5","138.9","6.3","12.5","5.2","4.3","2,081.6","323.5","1,529.0","229.1","1,920.9","278.2","1,426.8","215.9","1,516.9","148.9","1,198.2","169.9","404.0","129.4","228.6","46.1","7.7","14.0","6.7","5.8"
"2002","16,560.7","2,768.4","11,921.8","1,870.4","15,291.3","2,391.2","11,139.1","1,761.0","12,422.8","1,316.8","9,743.7","1,362.4","2,868.5","1,074.5","1,395.4","398.6","7.7","13.6","6.6","5.8","3,904.5","639.8","2,850.8","413.9","3,564.3","552.4","2,633.1","378.7","2,925.1","313.2","2,312.9","299.0","639.2","239.2","320.2","79.8","8.7","13.6","7.6","8.5","6,495.5","1,064.6","4,693.1","737.8","6,034.2","916.8","4,414.4","703.0","4,931.7","480.4","3,909.1","542.2","1,102.4","436.4","505.3","160.7","7.1","13.9","5.9","4.7","2,134.5","342.0","1,534.8","257.7","1,952.4","290.4","1,419.7","242.4","1,507.3","144.7","1,182.8","179.9","445.1","145.7","236.9","62.5","8.5","15.1","7.5","6.0"
"2003","16,944.2","2,826.5","12,025.0","2,092.6","15,660.8","2,441.2","11,250.1","1,969.5","12,692.4","1,336.2","9,838.8","1,517.4","2,968.4","1,105.1","1,411.3","452.1","7.6","13.6","6.4","5.9","3,992.8","654.7","2,871.1","466.9","3,628.8","562.6","2,638.8","427.4","2,956.5","313.3","2,312.8","330.4","672.3","249.3","326.0","97.0","9.1","14.1","8.1","8.5","6,676.5","1,093.3","4,754.2","829.0","6,212.9","935.9","4,484.9","792.2","5,061.4","485.9","3,967.1","608.3","1,151.5","449.9","517.7","183.9","6.9","14.4","5.7","4.4","2,171.6","343.8","1,536.5","291.4","1,998.1","294.0","1,431.5","272.6","1,552.0","150.4","1,194.6","207.0","446.1","143.6","236.9","65.6","8.0","14.5","6.8","6.5"
